node_id,prr,latency(ms)
0,0.959459,14.0316
1,0.933949,14.5427
2,0.960267,14.9071
3,0.975668,11.4356
4,0.979556,11.9341
5,0.983738,14.121
6,0.980918,12.447
7,0.969216,12.2112
8,0.988498,11.882
9,0.962916,13.639
node_id,prr,latency(ms)
0,0.959459,14.0316
1,0.933949,14.5427
2,0.960267,14.9071
3,0.975668,11.4356
4,0.979556,11.9341
5,0.983738,14.121
6,0.980918,12.447
7,0.969216,12.2112
8,0.988498,11.882
9,0.962916,13.639
node_id,prr,latency(ms)
0,0.959459,14.0316
1,0.933949,14.5427
2,0.960267,14.9071
3,0.975668,11.4356
4,0.979556,11.9341
5,0.983738,14.121
6,0.980918,12.447
7,0.969216,12.2112
8,0.988498,11.882
9,0.962916,13.639
node_id,prr,latency(ms)
0,0.959459,14.0316
1,0.933949,14.5427
2,0.960267,14.9071
3,0.975668,11.4356
4,0.979556,11.9341
5,0.983738,14.121
6,0.980918,12.447
7,0.969216,12.2112
8,0.988498,11.882
9,0.962916,13.639
node_id,prr,latency(ms)
0,0.959459,14.0316
1,0.933949,14.5427
2,0.960267,14.9071
3,0.975668,11.4356
4,0.979556,11.9341
5,0.983738,14.121
6,0.980918,12.447
7,0.969216,12.2112
8,0.988498,11.882
9,0.962916,13.639
